Date,KS200,Gold_x,REMX,AAPL,TSMC,USD/KRW,Gold_y
2022-02-09,368.65,1839.7,108.72,176.28,125.52,1194.05,70300
2022-02-10,371.57,1840.7,108.01,172.12,124.71,1199.83,70580
2022-02-11,368.61,1845.5,105.17,168.64,121.01,1199.48,70240
2022-02-14,362.98,1872.8,102.67,168.88,119.77,1197.32,70950
2022-02-15,360.43,1859.6,106.75,172.79,124.52,1196.76,72450
2022-02-16,367.3,1874.9,110.03,172.55,123.6,1196.53,71420
2022-02-17,369.55,1905.3,105.81,168.88,119.76,1198.63,72170
2022-02-18,368.55,1903.1,105.9,167.3,119.31,1195.59,72750
2022-02-22,363.51,1910.7,102.93,164.32,116.91,1191.9,73200
2022-02-23,364.44,1913.7,103.6,160.07,115.9,1192.44,72800
2022-02-24,355.04,1929.4,104.22,162.74,111.88,1206.05,74960
2022-02-25,358.44,1890.8,110.31,164.85,111.23,1197.57,74050
2022-02-28,361.54,1904.0,110.76,165.12,107.01,1200.12,73790
2022-03-02,360.59,1925.6,110.59,166.56,109.61,1203.16,75130
2022-03-03,367.06,1939.3,108.66,166.23,108.79,1205.54,74700
2022-03-04,361.69,1969.9,105.22,163.17,105.06,1217.45,75600
2022-03-07,353.03,1999.2,101.43,159.3,99.29,1232.14,78290
2022-03-08,349.38,2046.7,100.89,157.44,100.0,1233.53,79930
2022-03-10,358.01,2004.5,104.74,158.52,103.96,1228.83,78380
2022-03-11,355.31,1989.4,102.78,154.73,101.41,1237.08,78720
2022-03-14,354.61,1965.5,97.7,150.62,99.3,1240.64,78910
2022-03-15,351.03,1934.7,97.43,155.09,102.09,1240.62,77190
2022-03-16,356.09,1914.3,103.51,159.59,105.69,1225.35,76070
2022-03-17,361.46,1948.2,104.85,160.62,106.49,1209.89,75500
2022-03-18,362.33,1933.9,108.84,163.98,106.72,1211.15,75090
2022-03-21,358.77,1934.8,110.63,165.38,106.92,1217.55,75270
2022-03-22,361.66,1926.7,114.53,168.82,107.04,1215.07,75790
2022-03-23,364.84,1942.6,114.04,170.21,105.35,1218.62,74860
2022-03-24,363.38,1967.7,116.97,174.07,107.92,1219.58,76030
2022-03-25,362.06,1959.8,116.8,174.72,106.73,1225.08,76670
2022-03-28,362.06,1944.7,114.81,175.6,106.33,1223.65,76380
2022-03-29,363.77,1918.0,117.54,178.96,109.25,1207.35,75440
2022-03-30,364.5,1939.0,117.9,177.77,106.73,1210.31,74810
2022-03-31,365.61,1954.0,118.28,174.61,104.26,1214.17,75060
